Year,Province,"Income, consumption and savings",UOM, VALUE 
2013,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3533
2014,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3535
2015,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3534
2016,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3716
2017,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3751
2018,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3848
2019,Nova Scotia,Social transfers in kind (STiK): other,Dollars,3930
2020,Nova Scotia,Social transfers in kind (STiK): other,Dollars,4006
2010,New Brunswick,Household disposable income,Dollars," $59,472 "
2011,New Brunswick,Household disposable income,Dollars," $58,824 "
2012,New Brunswick,Household disposable income,Dollars," $60,344 "
2013,New Brunswick,Household disposable income,Dollars," $61,681 "
2014,New Brunswick,Household disposable income,Dollars," $62,418 "
2015,New Brunswick,Household disposable income,Dollars," $63,767 "
2016,New Brunswick,Household disposable income,Dollars," $65,074 "
2017,New Brunswick,Household disposable income,Dollars," $66,506 "
2018,New Brunswick,Household disposable income,Dollars," $67,152 "
2019,New Brunswick,Household disposable income,Dollars," $68,325 "
2020,New Brunswick,Household disposable income,Dollars," $73,222 "
2010,New Brunswick,Compensation of employees,Dollars,51827
2011,New Brunswick,Compensation of employees,Dollars,51261
2012,New Brunswick,Compensation of employees,Dollars,52248
2013,New Brunswick,Compensation of employees,Dollars,53362
2014,New Brunswick,Compensation of employees,Dollars,54139
2015,New Brunswick,Compensation of employees,Dollars,54310
2016,New Brunswick,Compensation of employees,Dollars,54384
2017,New Brunswick,Compensation of employees,Dollars,55304
2018,New Brunswick,Compensation of employees,Dollars,56761
2019,New Brunswick,Compensation of employees,Dollars,57837
2020,New Brunswick,Compensation of employees,Dollars,57114
2010,New Brunswick,Net mixed income,Dollars,8193
2011,New Brunswick,Net mixed income,Dollars,8104
2012,New Brunswick,Net mixed income,Dollars,8265
2013,New Brunswick,Net mixed income,Dollars,8301
2014,New Brunswick,Net mixed income,Dollars,8426
2015,New Brunswick,Net mixed income,Dollars,8677
2016,New Brunswick,Net mixed income,Dollars,8846
2017,New Brunswick,Net mixed income,Dollars,8996
2018,New Brunswick,Net mixed income,Dollars,9016
2019,New Brunswick,Net mixed income,Dollars,9086
2020,New Brunswick,Net mixed income,Dollars,9122
2010,New Brunswick,Property income received,Dollars,7713
2011,New Brunswick,Property income received,Dollars,7629
2012,New Brunswick,Property income received,Dollars,7816
2013,New Brunswick,Property income received,Dollars,7779
2014,New Brunswick,Property income received,Dollars,7738
2015,New Brunswick,Property income received,Dollars,7929
2016,New Brunswick,Property income received,Dollars,8205
2017,New Brunswick,Property income received,Dollars,8472
2018,New Brunswick,Property income received,Dollars,8285
2019,New Brunswick,Property income received,Dollars,8539
2020,New Brunswick,Property income received,Dollars,8139
2010,New Brunswick,Less: property income paid,Dollars,2487
2011,New Brunswick,Less: property income paid,Dollars,2460
2012,New Brunswick,Less: property income paid,Dollars,2549
2013,New Brunswick,Less: property income paid,Dollars,2573
2014,New Brunswick,Less: property income paid,Dollars,2287
2015,New Brunswick,Less: property income paid,Dollars,2238
2016,New Brunswick,Less: property income paid,Dollars,2343
2017,New Brunswick,Less: property income paid,Dollars,2473
2018,New Brunswick,Less: property income paid,Dollars,2767
2019,New Brunswick,Less: property income paid,Dollars,3066
2020,New Brunswick,Less: property income paid,Dollars,2702
2010,New Brunswick,Current transfers received,Dollars,18905
2011,New Brunswick,Current transfers received,Dollars,18699
2012,New Brunswick,Current transfers received,Dollars,19613
2013,New Brunswick,Current transfers received,Dollars,20462
2014,New Brunswick,Current transfers received,Dollars,20682
2015,New Brunswick,Current transfers received,Dollars,22436
2016,New Brunswick,Current transfers received,Dollars,23461
2017,New Brunswick,Current transfers received,Dollars,24166
2018,New Brunswick,Current transfers received,Dollars,24620
2019,New Brunswick,Current transfers received,Dollars,25323
2020,New Brunswick,Current transfers received,Dollars,30713
2010,New Brunswick,Less: current transfers paid,Dollars,24679
2011,New Brunswick,Less: current transfers paid,Dollars,24410
2012,New Brunswick,Less: current transfers paid,Dollars,25049
2013,New Brunswick,Less: current transfers paid,Dollars,25650
2014,New Brunswick,Less: current transfers paid,Dollars,26280
2015,New Brunswick,Less: current transfers paid,Dollars,27346
2016,New Brunswick,Less: current transfers paid,Dollars,27479
2017,New Brunswick,Less: current transfers paid,Dollars,27959
2018,New Brunswick,Less: current transfers paid,Dollars,28762
2019,New Brunswick,Less: current transfers paid,Dollars,29394
2020,New Brunswick,Less: current transfers paid,Dollars,29164
2010,New Brunswick,Social transfers in kind (STiK): education,Dollars,5131
2011,New Brunswick,Social transfers in kind (STiK): education,Dollars,5226
2012,New Brunswick,Social transfers in kind (STiK): education,Dollars,5235
2013,New Brunswick,Social transfers in kind (STiK): education,Dollars,5293
2014,New Brunswick,Social transfers in kind (STiK): education,Dollars,5201
2015,New Brunswick,Social transfers in kind (STiK): education,Dollars,5265
2016,New Brunswick,Social transfers in kind (STiK): education,Dollars,5408
2017,New Brunswick,Social transfers in kind (STiK): education,Dollars,5484
2018,New Brunswick,Social transfers in kind (STiK): education,Dollars,5445
2019,New Brunswick,Social transfers in kind (STiK): education,Dollars,5578
2020,New Brunswick,Social transfers in kind (STiK): education,Dollars,5973
2010,New Brunswick,Social transfers in kind (STiK): health,Dollars,9539
2011,New Brunswick,Social transfers in kind (STiK): health,Dollars,9698
2012,New Brunswick,Social transfers in kind (STiK): health,Dollars,9658
2013,New Brunswick,Social transfers in kind (STiK): health,Dollars,9913
2014,New Brunswick,Social transfers in kind (STiK): health,Dollars,9731
2015,New Brunswick,Social transfers in kind (STiK): health,Dollars,10145
2016,New Brunswick,Social transfers in kind (STiK): health,Dollars,10569
2017,New Brunswick,Social transfers in kind (STiK): health,Dollars,10775
2018,New Brunswick,Social transfers in kind (STiK): health,Dollars,10817
2019,New Brunswick,Social transfers in kind (STiK): health,Dollars,11134
2020,New Brunswick,Social transfers in kind (STiK): health,Dollars,11771
2010,New Brunswick,Social transfers in kind (STiK): other,Dollars,2872
2011,New Brunswick,Social transfers in kind (STiK): other,Dollars,2813
2012,New Brunswick,Social transfers in kind (STiK): other,Dollars,2812
2013,New Brunswick,Social transfers in kind (STiK): other,Dollars,2887
2014,New Brunswick,Social transfers in kind (STiK): other,Dollars,2923
2015,New Brunswick,Social transfers in kind (STiK): other,Dollars,2895
2016,New Brunswick,Social transfers in kind (STiK): other,Dollars,3121
2017,New Brunswick,Social transfers in kind (STiK): other,Dollars,3305
2018,New Brunswick,Social transfers in kind (STiK): other,Dollars,3383
2019,New Brunswick,Social transfers in kind (STiK): other,Dollars,3489
2020,New Brunswick,Social transfers in kind (STiK): other,Dollars,3498
2010,New Brunswick,Food and non-alcoholic beverages,Dollars,6048
2011,New Brunswick,Food and non-alcoholic beverages,Dollars,5982
2012,New Brunswick,Food and non-alcoholic beverages,Dollars,6065
2013,New Brunswick,Food and non-alcoholic beverages,Dollars,6072
2014,New Brunswick,Food and non-alcoholic beverages,Dollars,6191
2015,New Brunswick,Food and non-alcoholic beverages,Dollars,6427
2016,New Brunswick,Food and non-alcoholic beverages,Dollars,6511
2017,New Brunswick,Food and non-alcoholic beverages,Dollars,6432
2018,New Brunswick,Food and non-alcoholic beverages,Dollars,6337
2019,New Brunswick,Food and non-alcoholic beverages,Dollars,6532
2020,New Brunswick,Food and non-alcoholic beverages,Dollars,7360
2010,New Brunswick,Alcoholic beverages and tobacco,Dollars,2792
2011,New Brunswick,Alcoholic beverages and tobacco,Dollars,2761
2012,New Brunswick,Alcoholic beverages and tobacco,Dollars,2778
2013,New Brunswick,Alcoholic beverages and tobacco,Dollars,2852
2014,New Brunswick,Alcoholic beverages and tobacco,Dollars,2861
2015,New Brunswick,Alcoholic beverages and tobacco,Dollars,2893
2016,New Brunswick,Alcoholic beverages and tobacco,Dollars,2997
2017,New Brunswick,Alcoholic beverages and tobacco,Dollars,3119
2018,New Brunswick,Alcoholic beverages and tobacco,Dollars,3172
2019,New Brunswick,Alcoholic beverages and tobacco,Dollars,3154
2020,New Brunswick,Alcoholic beverages and tobacco,Dollars,3357
2010,New Brunswick,Clothing and footwear,Dollars,2407
2011,New Brunswick,Clothing and footwear,Dollars,2380
2012,New Brunswick,Clothing and footwear,Dollars,2411
2013,New Brunswick,Clothing and footwear,Dollars,2458
2014,New Brunswick,Clothing and footwear,Dollars,2535
2015,New Brunswick,Clothing and footwear,Dollars,2622
2016,New Brunswick,Clothing and footwear,Dollars,2492
2017,New Brunswick,Clothing and footwear,Dollars,2572
2018,New Brunswick,Clothing and footwear,Dollars,3155
2019,New Brunswick,Clothing and footwear,Dollars,3195
2020,New Brunswick,Clothing and footwear,Dollars,2606
2010,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,14675
2011,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,14515
2012,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,14820
2013,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,15234
2014,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,15734
2015,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,16011
2016,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,16193
2017,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,16688
2018,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,15233
2019,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,15842
2020,New Brunswick,"Housing, water, electricity, gas and other fuels",Dollars,16800
2010,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3419
2011,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3382
2012,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3415
2013,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3516
2014,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3595
2015,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3716
2016,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3821
2017,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4009
2018,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4587
2019,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4717
2020,New Brunswick,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5195
2010,New Brunswick,Health,Dollars,2905
2011,New Brunswick,Health,Dollars,2873
2012,New Brunswick,Health,Dollars,2963
2013,New Brunswick,Health,Dollars,2939
2014,New Brunswick,Health,Dollars,3005
2015,New Brunswick,Health,Dollars,3168
2016,New Brunswick,Health,Dollars,3177
2017,New Brunswick,Health,Dollars,3286
2018,New Brunswick,Health,Dollars,3180
2019,New Brunswick,Health,Dollars,3244
2020,New Brunswick,Health,Dollars,3062
2010,New Brunswick,Transport,Dollars,10409
2011,New Brunswick,Transport,Dollars,10296
2012,New Brunswick,Transport,Dollars,10390
2013,New Brunswick,Transport,Dollars,10979
2014,New Brunswick,Transport,Dollars,11238
2015,New Brunswick,Transport,Dollars,11037
2016,New Brunswick,Transport,Dollars,11106
2017,New Brunswick,Transport,Dollars,11798
2018,New Brunswick,Transport,Dollars,12536
2019,New Brunswick,Transport,Dollars,12409
2020,New Brunswick,Transport,Dollars,10212
2010,New Brunswick,Communications,Dollars,1617
2011,New Brunswick,Communications,Dollars,1599
2012,New Brunswick,Communications,Dollars,1684
2013,New Brunswick,Communications,Dollars,1744
2014,New Brunswick,Communications,Dollars,1807
2015,New Brunswick,Communications,Dollars,1912
2016,New Brunswick,Communications,Dollars,1952
2017,New Brunswick,Communications,Dollars,2094
2018,New Brunswick,Communications,Dollars,1984
2019,New Brunswick,Communications,Dollars,2034
2020,New Brunswick,Communications,Dollars,2070
2010,New Brunswick,Recreation and culture,Dollars,5497
2011,New Brunswick,Recreation and culture,Dollars,5437
2012,New Brunswick,Recreation and culture,Dollars,5484
2013,New Brunswick,Recreation and culture,Dollars,5530
2014,New Brunswick,Recreation and culture,Dollars,5592
2015,New Brunswick,Recreation and culture,Dollars,5652
2016,New Brunswick,Recreation and culture,Dollars,5679
2017,New Brunswick,Recreation and culture,Dollars,5767
2018,New Brunswick,Recreation and culture,Dollars,6620
2019,New Brunswick,Recreation and culture,Dollars,6659
2020,New Brunswick,Recreation and culture,Dollars,6755
2010,New Brunswick,Education,Dollars,709
2011,New Brunswick,Education,Dollars,701
2012,New Brunswick,Education,Dollars,728
2013,New Brunswick,Education,Dollars,749
2014,New Brunswick,Education,Dollars,678
2015,New Brunswick,Education,Dollars,700
2016,New Brunswick,Education,Dollars,726
2017,New Brunswick,Education,Dollars,714
2018,New Brunswick,Education,Dollars,669
2019,New Brunswick,Education,Dollars,697
2020,New Brunswick,Education,Dollars,688
2010,New Brunswick,"Food, beverage and accommodation services",Dollars,3915
2011,New Brunswick,"Food, beverage and accommodation services",Dollars,3873
2012,New Brunswick,"Food, beverage and accommodation services",Dollars,3939
2013,New Brunswick,"Food, beverage and accommodation services",Dollars,4022
2014,New Brunswick,"Food, beverage and accommodation services",Dollars,4030
2015,New Brunswick,"Food, beverage and accommodation services",Dollars,4087
2016,New Brunswick,"Food, beverage and accommodation services",Dollars,3999
2017,New Brunswick,"Food, beverage and accommodation services",Dollars,3987
2018,New Brunswick,"Food, beverage and accommodation services",Dollars,4343
2019,New Brunswick,"Food, beverage and accommodation services",Dollars,4460
2020,New Brunswick,"Food, beverage and accommodation services",Dollars,3139
2010,New Brunswick,Insurance and financial services,Dollars,4304
2011,New Brunswick,Insurance and financial services,Dollars,4257
2012,New Brunswick,Insurance and financial services,Dollars,4245
2013,New Brunswick,Insurance and financial services,Dollars,4458
2014,New Brunswick,Insurance and financial services,Dollars,4523
2015,New Brunswick,Insurance and financial services,Dollars,4631
2016,New Brunswick,Insurance and financial services,Dollars,4694
2017,New Brunswick,Insurance and financial services,Dollars,5024
2018,New Brunswick,Insurance and financial services,Dollars,4689
2019,New Brunswick,Insurance and financial services,Dollars,4784
2020,New Brunswick,Insurance and financial services,Dollars,5022
2010,New Brunswick,Miscellaneous goods and services,Dollars,3354
2011,New Brunswick,Miscellaneous goods and services,Dollars,3318
2012,New Brunswick,Miscellaneous goods and services,Dollars,3392
2013,New Brunswick,Miscellaneous goods and services,Dollars,3386
2014,New Brunswick,Miscellaneous goods and services,Dollars,3446
2015,New Brunswick,Miscellaneous goods and services,Dollars,3566
2016,New Brunswick,Miscellaneous goods and services,Dollars,3612
2017,New Brunswick,Miscellaneous goods and services,Dollars,3713
2018,New Brunswick,Miscellaneous goods and services,Dollars,3750
2019,New Brunswick,Miscellaneous goods and services,Dollars,3880
2020,New Brunswick,Miscellaneous goods and services,Dollars,3684
2010,New Brunswick,Social transfers in kind (STiK): education,Dollars,5131
2011,New Brunswick,Social transfers in kind (STiK): education,Dollars,5226
2012,New Brunswick,Social transfers in kind (STiK): education,Dollars,5235
2013,New Brunswick,Social transfers in kind (STiK): education,Dollars,5293
2014,New Brunswick,Social transfers in kind (STiK): education,Dollars,5201
2015,New Brunswick,Social transfers in kind (STiK): education,Dollars,5265
2016,New Brunswick,Social transfers in kind (STiK): education,Dollars,5408
2017,New Brunswick,Social transfers in kind (STiK): education,Dollars,5484
2018,New Brunswick,Social transfers in kind (STiK): education,Dollars,5445
2019,New Brunswick,Social transfers in kind (STiK): education,Dollars,5578
2020,New Brunswick,Social transfers in kind (STiK): education,Dollars,5973
2010,New Brunswick,Social transfers in kind (STiK): health,Dollars,9539
2011,New Brunswick,Social transfers in kind (STiK): health,Dollars,9698
2012,New Brunswick,Social transfers in kind (STiK): health,Dollars,9658
2013,New Brunswick,Social transfers in kind (STiK): health,Dollars,9913
2014,New Brunswick,Social transfers in kind (STiK): health,Dollars,9731
2015,New Brunswick,Social transfers in kind (STiK): health,Dollars,10145
2016,New Brunswick,Social transfers in kind (STiK): health,Dollars,10569
2017,New Brunswick,Social transfers in kind (STiK): health,Dollars,10775
2018,New Brunswick,Social transfers in kind (STiK): health,Dollars,10817
2019,New Brunswick,Social transfers in kind (STiK): health,Dollars,11134
2020,New Brunswick,Social transfers in kind (STiK): health,Dollars,11771
2010,New Brunswick,Social transfers in kind (STiK): other,Dollars,2872
2011,New Brunswick,Social transfers in kind (STiK): other,Dollars,2813
2012,New Brunswick,Social transfers in kind (STiK): other,Dollars,2812
2013,New Brunswick,Social transfers in kind (STiK): other,Dollars,2887
2014,New Brunswick,Social transfers in kind (STiK): other,Dollars,2923
2015,New Brunswick,Social transfers in kind (STiK): other,Dollars,2895
2016,New Brunswick,Social transfers in kind (STiK): other,Dollars,3121
2017,New Brunswick,Social transfers in kind (STiK): other,Dollars,3305
2018,New Brunswick,Social transfers in kind (STiK): other,Dollars,3383
2019,New Brunswick,Social transfers in kind (STiK): other,Dollars,3489
2020,New Brunswick,Social transfers in kind (STiK): other,Dollars,3498
2010,Quebec,Household disposable income,Dollars," $56,188 "
2011,Quebec,Household disposable income,Dollars," $55,240 "
2012,Quebec,Household disposable income,Dollars," $57,140 "
2013,Quebec,Household disposable income,Dollars," $58,395 "
2014,Quebec,Household disposable income,Dollars," $59,511 "
2015,Quebec,Household disposable income,Dollars," $61,161 "
2016,Quebec,Household disposable income,Dollars," $62,059 "
2017,Quebec,Household disposable income,Dollars," $63,999 "
2018,Quebec,Household disposable income,Dollars," $64,925 "
2019,Quebec,Household disposable income,Dollars," $67,332 "
2020,Quebec,Household disposable income,Dollars," $73,903 "
2010,Quebec,Compensation of employees,Dollars,52761
2011,Quebec,Compensation of employees,Dollars,51871
2012,Quebec,Compensation of employees,Dollars,53855
2013,Quebec,Compensation of employees,Dollars,55166
2014,Quebec,Compensation of employees,Dollars,56160
2015,Quebec,Compensation of employees,Dollars,57080
2016,Quebec,Compensation of employees,Dollars,58115
2017,Quebec,Compensation of employees,Dollars,59848
2018,Quebec,Compensation of employees,Dollars,62409
2019,Quebec,Compensation of employees,Dollars,64958
2020,Quebec,Compensation of employees,Dollars,65521
2010,Quebec,Net mixed income,Dollars,8207
2011,Quebec,Net mixed income,Dollars,8069
2012,Quebec,Net mixed income,Dollars,8176
2013,Quebec,Net mixed income,Dollars,8297
2014,Quebec,Net mixed income,Dollars,8240
2015,Quebec,Net mixed income,Dollars,8284
2016,Quebec,Net mixed income,Dollars,8482
2017,Quebec,Net mixed income,Dollars,8547
2018,Quebec,Net mixed income,Dollars,8655
2019,Quebec,Net mixed income,Dollars,9036
2020,Quebec,Net mixed income,Dollars,8993
2010,Quebec,Property income received,Dollars,9592
2011,Quebec,Property income received,Dollars,9430
2012,Quebec,Property income received,Dollars,9909
2013,Quebec,Property income received,Dollars,9621
2014,Quebec,Property income received,Dollars,10058
2015,Quebec,Property income received,Dollars,10622
2016,Quebec,Property income received,Dollars,10661
2017,Quebec,Property income received,Dollars,11044
2018,Quebec,Property income received,Dollars,11064
2019,Quebec,Property income received,Dollars,11619
2020,Quebec,Property income received,Dollars,11463
2010,Quebec,Less: property income paid,Dollars,2665
2011,Quebec,Less: property income paid,Dollars,2620
2012,Quebec,Less: property income paid,Dollars,2847
2013,Quebec,Less: property income paid,Dollars,2938
2014,Quebec,Less: property income paid,Dollars,2726
2015,Quebec,Less: property income paid,Dollars,2694
2016,Quebec,Less: property income paid,Dollars,2676
2017,Quebec,Less: property income paid,Dollars,2748
2018,Quebec,Less: property income paid,Dollars,3194
2019,Quebec,Less: property income paid,Dollars,3528
2020,Quebec,Less: property income paid,Dollars,3239
2010,Quebec,Current transfers received,Dollars,16862
2011,Quebec,Current transfers received,Dollars,16577
2012,Quebec,Current transfers received,Dollars,17409
2013,Quebec,Current transfers received,Dollars,18031
2014,Quebec,Current transfers received,Dollars,18540
2015,Quebec,Current transfers received,Dollars,19687
2016,Quebec,Current transfers received,Dollars,20631
2017,Quebec,Current transfers received,Dollars,20913
2018,Quebec,Current transfers received,Dollars,21399
2019,Quebec,Current transfers received,Dollars,22076
2020,Quebec,Current transfers received,Dollars,28632
2010,Quebec,Less: current transfers paid,Dollars,28569
2011,Quebec,Less: current transfers paid,Dollars,28087
2012,Quebec,Less: current transfers paid,Dollars,29363
2013,Quebec,Less: current transfers paid,Dollars,29782
2014,Quebec,Less: current transfers paid,Dollars,30760
2015,Quebec,Less: current transfers paid,Dollars,31818
2016,Quebec,Less: current transfers paid,Dollars,33155
2017,Quebec,Less: current transfers paid,Dollars,33605
2018,Quebec,Less: current transfers paid,Dollars,35409
2019,Quebec,Less: current transfers paid,Dollars,36829
2020,Quebec,Less: current transfers paid,Dollars,37467
2010,Quebec,Social transfers in kind (STiK): education,Dollars,5138
2011,Quebec,Social transfers in kind (STiK): education,Dollars,5308
2012,Quebec,Social transfers in kind (STiK): education,Dollars,5398
2013,Quebec,Social transfers in kind (STiK): education,Dollars,5483
2014,Quebec,Social transfers in kind (STiK): education,Dollars,5612
2015,Quebec,Social transfers in kind (STiK): education,Dollars,5606
2016,Quebec,Social transfers in kind (STiK): education,Dollars,5795
2017,Quebec,Social transfers in kind (STiK): education,Dollars,5952
2018,Quebec,Social transfers in kind (STiK): education,Dollars,6145
2019,Quebec,Social transfers in kind (STiK): education,Dollars,6246
2020,Quebec,Social transfers in kind (STiK): education,Dollars,6678
2010,Quebec,Social transfers in kind (STiK): health,Dollars,8434
2011,Quebec,Social transfers in kind (STiK): health,Dollars,8708
2012,Quebec,Social transfers in kind (STiK): health,Dollars,8860
2013,Quebec,Social transfers in kind (STiK): health,Dollars,9205
2014,Quebec,Social transfers in kind (STiK): health,Dollars,9556
2015,Quebec,Social transfers in kind (STiK): health,Dollars,9687
2016,Quebec,Social transfers in kind (STiK): health,Dollars,10046
2017,Quebec,Social transfers in kind (STiK): health,Dollars,10269
2018,Quebec,Social transfers in kind (STiK): health,Dollars,10477
2019,Quebec,Social transfers in kind (STiK): health,Dollars,10788
2020,Quebec,Social transfers in kind (STiK): health,Dollars,11562
2010,Quebec,Social transfers in kind (STiK): other,Dollars,2691
2011,Quebec,Social transfers in kind (STiK): other,Dollars,2802
2012,Quebec,Social transfers in kind (STiK): other,Dollars,2867
2013,Quebec,Social transfers in kind (STiK): other,Dollars,2904
2014,Quebec,Social transfers in kind (STiK): other,Dollars,2884
2015,Quebec,Social transfers in kind (STiK): other,Dollars,2934
2016,Quebec,Social transfers in kind (STiK): other,Dollars,3024
2017,Quebec,Social transfers in kind (STiK): other,Dollars,3033
2018,Quebec,Social transfers in kind (STiK): other,Dollars,3165
2019,Quebec,Social transfers in kind (STiK): other,Dollars,3261
2020,Quebec,Social transfers in kind (STiK): other,Dollars,3323
2010,Quebec,Food and non-alcoholic beverages,Dollars,6043
2011,Quebec,Food and non-alcoholic beverages,Dollars,5941
2012,Quebec,Food and non-alcoholic beverages,Dollars,5975
2013,Quebec,Food and non-alcoholic beverages,Dollars,6052
2014,Quebec,Food and non-alcoholic beverages,Dollars,6136
2015,Quebec,Food and non-alcoholic beverages,Dollars,6252
2016,Quebec,Food and non-alcoholic beverages,Dollars,6373
2017,Quebec,Food and non-alcoholic beverages,Dollars,6577
2018,Quebec,Food and non-alcoholic beverages,Dollars,6541
2019,Quebec,Food and non-alcoholic beverages,Dollars,6751
2020,Quebec,Food and non-alcoholic beverages,Dollars,7480
2010,Quebec,Alcoholic beverages and tobacco,Dollars,2446
2011,Quebec,Alcoholic beverages and tobacco,Dollars,2405
2012,Quebec,Alcoholic beverages and tobacco,Dollars,2477
2013,Quebec,Alcoholic beverages and tobacco,Dollars,2529
2014,Quebec,Alcoholic beverages and tobacco,Dollars,2568
2015,Quebec,Alcoholic beverages and tobacco,Dollars,2589
2016,Quebec,Alcoholic beverages and tobacco,Dollars,2616
2017,Quebec,Alcoholic beverages and tobacco,Dollars,2635
2018,Quebec,Alcoholic beverages and tobacco,Dollars,2790
2019,Quebec,Alcoholic beverages and tobacco,Dollars,2778
2020,Quebec,Alcoholic beverages and tobacco,Dollars,2918
2010,Quebec,Clothing and footwear,Dollars,2552
2011,Quebec,Clothing and footwear,Dollars,2509
2012,Quebec,Clothing and footwear,Dollars,2564
2013,Quebec,Clothing and footwear,Dollars,2637
2014,Quebec,Clothing and footwear,Dollars,2714
2015,Quebec,Clothing and footwear,Dollars,2892
2016,Quebec,Clothing and footwear,Dollars,2942
2017,Quebec,Clothing and footwear,Dollars,2927
2018,Quebec,Clothing and footwear,Dollars,3571
2019,Quebec,Clothing and footwear,Dollars,3619
2020,Quebec,Clothing and footwear,Dollars,2904
2010,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,11988
2011,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,11786
2012,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,12110
2013,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,12538
2014,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,13024
2015,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,13316
2016,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,13512
2017,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,13813
2018,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,12874
2019,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,13431
2020,Quebec,"Housing, water, electricity, gas and other fuels",Dollars,14070
2010,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3560
2011,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3500
2012,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3487
2013,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3463
2014,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3471
2015,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3528
2016,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3654
2017,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3713
2018,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4262
2019,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4383
2020,Quebec,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4703
2010,Quebec,Health,Dollars,2585
2011,Quebec,Health,Dollars,2542
2012,Quebec,Health,Dollars,2631
2013,Quebec,Health,Dollars,2796
2014,Quebec,Health,Dollars,2862
2015,Quebec,Health,Dollars,2962
2016,Quebec,Health,Dollars,3101
2017,Quebec,Health,Dollars,3100
2018,Quebec,Health,Dollars,2994
2019,Quebec,Health,Dollars,3056
2020,Quebec,Health,Dollars,2854
2010,Quebec,Transport,Dollars,9690
2011,Quebec,Transport,Dollars,9526
2012,Quebec,Transport,Dollars,9819
2013,Quebec,Transport,Dollars,10094
2014,Quebec,Transport,Dollars,10219
2015,Quebec,Transport,Dollars,10070
2016,Quebec,Transport,Dollars,10214
2017,Quebec,Transport,Dollars,10588
2018,Quebec,Transport,Dollars,11440
2019,Quebec,Transport,Dollars,11315
2020,Quebec,Transport,Dollars,8985
2010,Quebec,Communications,Dollars,1362
2011,Quebec,Communications,Dollars,1339
2012,Quebec,Communications,Dollars,1397
2013,Quebec,Communications,Dollars,1449
2014,Quebec,Communications,Dollars,1506
2015,Quebec,Communications,Dollars,1538
2016,Quebec,Communications,Dollars,1609
2017,Quebec,Communications,Dollars,1723
2018,Quebec,Communications,Dollars,1643
2019,Quebec,Communications,Dollars,1687
2020,Quebec,Communications,Dollars,1687
2010,Quebec,Recreation and culture,Dollars,4926
2011,Quebec,Recreation and culture,Dollars,4843
2012,Quebec,Recreation and culture,Dollars,4811
